task_id,model_name,model_base,example_id,audio_filename,question,predicted_label,predicted_text,answer_label,answer_text,answer_type,is_correct,parse_status,raw_prediction,n_options,predicted_type,run_id,use_audio,latency_ms
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100476.mp3__0,100476.mp3,"What happens immediately after this event first appears: ""A saxophone plays a soft melody with oscillating volume.""?",B,A saxophone plays a soft melody with varying volume and fades out.,B,A saxophone plays a soft melody with varying volume and fades out.,event,True,exact-label,B,3,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100476.mp3__2,100476.mp3,"What happens immediately after this event first appears: ""A string is plucked repeatedly without pauses.""?",B,A saxophone plays a soft melody with oscillating volume.,A,"This is the last event, no immediate event after.",none,False,exact-label,B,3,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100481.mp3__2,100481.mp3,"What happens immediately after this event first appears: ""A bird chirps loudly.""?",A,A motor is whirring consistently.,B,"This is the last event, no immediate event after.",none,False,exact-label,A,3,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100489.mp3__2,100489.mp3,"What happens immediately after this event first appears: ""A scratching noise.""?",A,Low-pitched engine running.,D,A whistling sound is heard in the background.,event,False,exact-label,A,4,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100489.mp3__3,100489.mp3,"What happens immediately after this event first appears: ""A whistling sound is heard in the background.""?",C,A bell rings repeatedly in the background.,A,"This is the last event, no immediate event after.",none,False,exact-label,C,4,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100491.mp3__2,100491.mp3,"What happens immediately after this event first appears: ""A brief burst of pressurized air or steam hissing.""?",C,The sound of air whooshing as a train passes by gradually increases.,B,A continuous and rhythmic bell chime gradually fading and decreasing.,event,False,exact-label,C,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100491.mp3__4,100491.mp3,"What happens immediately after this event first appears: ""The whooshing sound of displaced air as a train passes by gradually fades.""?",B,A brief burst of pressurized air or steam hissing.,C,"This is the last event, no immediate event after.",none,False,exact-label,B,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,100774.mp3__2,100774.mp3,"What happens immediately after this event first appears: ""The lingering sound of air after a sudden explosion.""?",C,A flying object approaches with its propeller spinning quickly.,B,"This is the last event, no immediate event after.",none,False,exact-label,C,3,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101692.mp3__1,101692.mp3,"What happens immediately after this event first appears: ""Thunder rolling in the distance.""?",A,Thunder rolls in the far distance.,A,Thunder rolls in the far distance.,event,True,exact-label,A,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101692.mp3__2,101692.mp3,"What happens immediately after this event first appears: ""Thunder rolls in the far distance.""?",B,A short roll of thunder in the distance.,B,A short roll of thunder in the distance.,event,True,exact-label,B,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101692.mp3__3,101692.mp3,"What happens immediately after this event first appears: ""A short roll of thunder in the distance.""?",A,Thunder rolls softly in the distance.,A,Thunder rolls softly in the distance.,event,True,exact-label,A,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101692.mp3__4,101692.mp3,"What happens immediately after this event first appears: ""Thunder rolls softly in the distance.""?",A,A short roll of thunder in the distance.,E,"This is the last event, no immediate event after.",none,False,exact-label,A,5,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101811.mp3__1,101811.mp3,"What happens immediately after this event first appears: ""People are talking loudly indoors, with the sound gradually increasing.""?",A,People are talking loudly indoors.,B,"This is the last event, no immediate event after.",none,False,exact-label,A,2,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101814.mp3__2,101814.mp3,"What happens immediately after this event first appears: ""Traffic noise is audible in the distance.""?",A,Several people are talking loudly outdoors indistinctly.,B,"This is the last event, no immediate event after.",none,False,exact-label,A,3,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101847.mp3__0,101847.mp3,"What happens immediately after this event first appears: ""Multiple people are speaking.""?",B,"Two people are speaking in Spanish, one close to the microphone and the other in the background.",B,"Two people are speaking in Spanish, one close to the microphone and the other in the background.",event,True,exact-label,B,2,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101847.mp3__1,101847.mp3,"What happens immediately after this event first appears: ""Two people are speaking in Spanish, one close to the microphone and the other in the background.""?",B,Multiple people are speaking.,A,"This is the last event, no immediate event after.",none,False,exact-label,B,2,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101948.mp3__0,101948.mp3,"What happens immediately after this event first appears: ""Distant thunderclaps rumble low with brief pauses in between.""?",A,Thunder echoes faintly.,A,Thunder echoes faintly.,event,True,exact-label,A,2,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,101948.mp3__1,101948.mp3,"What happens immediately after this event first appears: ""Thunder echoes faintly.""?",A,Distant thunderclaps rumble low with brief pauses in between.,B,"This is the last event, no immediate event after.",none,False,exact-label,A,2,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,102409.mp3__3,102409.mp3,"What happens immediately after this event first appears: ""A ferry wobbling on water with waves hitting it.""?",C,People boarding a boat.,B,"This is the last event, no immediate event after.",none,False,exact-label,C,4,event,20260217_140006,True,
MCQ-ORDER,audio-flamingo-3,nvidia/audio-flamingo-3,102411.mp3__3,102411.mp3,"What happens immediately after this event first appears: ""A child cries.""?",B,Background chatter from a crowd on a ferry.,A,"This is the last event, no immediate event after.",none,False,exact-label,B,4,event,20260217_140006,True,
