run_id,task_id,model_name,examples,correct,accuracy,elapsed_seconds,average_latency_ms,started_at_utc,finished_at_utc,dataset_path,decisions_path
20260217_111326,MCQ-ORDER,random,25481,7253,0.284643,0.292639,0.000743,2026-02-17T11:13:26.150763+00:00,2026-02-17T11:13:26.443417+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_111326/decisions.jsonl
20260217_111807,MCQ-ORDER,random,9519,2705,0.284169,0.110015,0.000739,2026-02-17T11:18:07.916270+00:00,2026-02-17T11:18:08.026294+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_111807/decisions.jsonl
20260217_112310,MCQ-ORDER,qwen2-audio-7b-instruct,1000,177,0.177,221.487966,221.487966,2026-02-17T11:23:10.554053+00:00,2026-02-17T11:27:17.199447+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260217_112310/decisions.jsonl
20260217_112310,MCQ-ORDER,audio-flamingo-3-no-audio,1000,272,0.272,352.89232,352.89232,2026-02-17T11:23:10.366645+00:00,2026-02-17T11:29:04.675906+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/audio-flamingo-3-no-audio/20260217_112310/decisions.jsonl
20260217_113442,MCQ-ORDER,random,1000,299,0.299,0.003133,0.000711,2026-02-17T11:34:42.566068+00:00,2026-02-17T11:34:42.569224+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_113442/decisions.jsonl
20260217_115345,MCQ-ORDER,qwen2-audio-7b-instruct,1000,177,0.177,223.355343,223.355343,2026-02-17T11:53:45.681760+00:00,2026-02-17T11:57:50.526844+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260217_115345/decisions.jsonl
20260217_120455,MCQ-ORDER,qwen2-audio-7b-instruct-no-audio,1000,239,0.239,223.457149,223.457149,2026-02-17T12:04:55.937109+00:00,2026-02-17T12:08:59.615249+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct-no-audio/20260217_120455/decisions.jsonl
20260217_122811,MCQ-ORDER,qwen2-audio-7b-instruct,1000,177,0.177,220.77039,220.77039,2026-02-17T12:28:11.658204+00:00,2026-02-17T12:32:14.037233+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260217_122811/decisions.jsonl
20260217_124044,MCQ-ORDER,random,9519,2705,0.284169,0.128718,0.000761,2026-02-17T12:40:44.231132+00:00,2026-02-17T12:40:44.359859+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_124044/decisions.jsonl
20260217_124103,MCQ-ORDER,random,1000,299,0.299,0.013642,0.000784,2026-02-17T12:41:03.174172+00:00,2026-02-17T12:41:03.187822+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_124103/decisions.jsonl
20260217_130051,MCQ-ORDER,audio-flamingo-3-no-audio,1000,272,0.272,346.676806,346.676806,2026-02-17T13:00:51.704954+00:00,2026-02-17T13:06:38.695388+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/audio-flamingo-3-no-audio/20260217_130051/decisions.jsonl
20260217_140006,MCQ-ORDER,audio-flamingo-3,1000,194,0.194,506.752336,506.752336,2026-02-17T14:00:06.577670+00:00,2026-02-17T14:10:41.379725+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/audio-flamingo-3/20260217_140006/decisions.jsonl
20260217_150324,MCQ-ORDER,random,1000,299,0.299,0.002282,0.000527,2026-02-17T15:03:24.308421+00:00,2026-02-17T15:03:24.310940+00:00,data/mcq_event_timeline_strong.jsonl,results/mcq-order/random/20260217_150324/decisions.jsonl
20260219_105757,MCQ-ORDER,llm-qwen,51,24,0.470588,22.706955,445.15994,2026-02-19T10:57:57.776299+00:00,2026-02-19T10:58:20.483276+00:00,data/mcq_event_timeline_curated_51.jsonl,results/mcq-order/llm-qwen/20260219_105757/decisions.jsonl
20260219_105754,MCQ-ORDER,qwen2-audio-7b-instruct,51,14,0.27451,14.185394,278.144982,2026-02-19T10:57:54.088498+00:00,2026-02-19T10:58:28.034874+00:00,data/mcq_event_timeline_curated_51.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260219_105754/decisions.jsonl
20260219_105757,MCQ-ORDER,qwen2-audio-7b-instruct,51,14,0.27451,13.797637,270.541893,2026-02-19T10:57:57.408917+00:00,2026-02-19T10:58:36.854941+00:00,data/mcq_event_timeline_curated_51.jsonl,results/mcq-order/qwen2-audio-7b-instruct/20260219_105757/decisions.jsonl
20260219_105757,MCQ-ORDER,audio-flamingo-3,51,11,0.215686,65.155588,1277.560555,2026-02-19T10:57:57.408892+00:00,2026-02-19T10:59:02.601658+00:00,data/mcq_event_timeline_curated_51.jsonl,results/mcq-order/audio-flamingo-3/20260219_105757/decisions.jsonl
