pair_name,priority,category,example_id,audio_filename,question,options_text,answer_label,audio_prediction,noaudio_prediction,audio_parse_status,noaudio_parse_status,audio_raw_prediction,noaudio_raw_prediction,n_options,audio_is_correct,noaudio_is_correct
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,128064.mp3__3,128064.mp3,"What happens immediately after this event first appears: ""A short, fast, high-pitched pig grunt.""?","A. A pig grunts gutturally and raspily in bursts while people talk in the background. | B. A raspy, guttural, high-pitched pig grunt. | C. A pig is grunting continuously. | D. A pig grunts quietly twice. | E. A pig grunts gutturally and raspily, with the pitch increasing. | F. A pig grunts shortly and quickly. | G. Several birds chirping softly and continuously outdoors. | H. A pig grunts continuously in a quiet, monotone manner. | I. A pig grunts twice with a fast, raspy sound separated by a quiet pause. | J. A bird chirps once with a high-pitched tone. | K. High-pitched, continuous raspy pig grunt. | L. Muffled, indistinct overlapping voices with occasional pig grunts. | M. This is the last event, no immediate event after. | N. A bird chirps softly and continuously. | O. Birds chirping continuously with faint background chatter. | P. A bird emits an abrupt high-pitched call, possibly while flying away. | Q. A bird chirping quietly outdoors.",A,A,F,exact-label,exact-label,A,F,17,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,117612.mp3__2,117612.mp3,"What happens immediately after this event first appears: ""A cat meows close up.""?","A. An intermittent cat meowing. | B. A cat meows softly. | C. A cat purrs softly and briefly. | D. A cat purring softly. | E. A cat is purring softly. | F. A short cat meows. | G. This is the last event, no immediate event after. | H. A cat purrs intermittently, varying between loud and low.",C,C,G,exact-label,exact-label,C,G,8,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,116483.mp3__2,116483.mp3,"What happens immediately after this event first appears: ""Short, sharp, high-pitched barks.""?","A. A series of short, sharp, high-pitched barks. | B. A short, sharp, high-pitched bark. | C. This is the last event, no immediate event after. | D. Series of short, sharp, high-pitched barks. | E. A muffled, short, high-pitched bark. | F. Short, high-pitched, muffled barks.",A,A,B,exact-label,exact-label,A,B,6,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,118429.mp3__4,118429.mp3,"What happens immediately after this event first appears: ""The engine of a motorcycle revs up.""?","A. A motorcycle approaches. | B. An engine is revving. | C. A motorcycle drives away. | D. The engine of a motorcycle running in the background. | E. The engine of a motorcycle buzzes in a low-pitched tone. | F. This is the last event, no immediate event after.",A,A,B,exact-label,exact-label,A,B,6,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,121299.mp3__3,121299.mp3,"What happens immediately after this event first appears: ""Wheels spinning.""?","A. Spinning wheels make a loud noise. | B. A horn honks from far away. | C. Traffic noise. | D. This is the last event, no immediate event after. | E. A car passes by.",A,A,D,exact-label,exact-label,A,D,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,130127.mp3__1,130127.mp3,"What happens immediately after this event first appears: ""A car is driving in the background.""?","A. A car is approaching. | B. A car is braking with squeaky tires. | C. This is the last event, no immediate event after. | D. People are yelling and singing. | E. People singing and yelling in the distance.",A,A,C,exact-label,exact-label,A,C,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,140602.mp3__1,140602.mp3,"What happens immediately after this event first appears: ""A person is speaking indistinctly.""?","A. A clicking noise. | B. Ambient humming noise inside a plane. | C. A plane pilot is speaking through a loudspeaker. | D. Someone is speaking indistinctly in the distance. | E. This is the last event, no immediate event after.",A,A,C,exact-label,exact-label,A,C,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,146406.mp3__1,146406.mp3,"What happens immediately after this event first appears: ""A man repeatedly shushes.""?","A. This is the last event, no immediate event after. | B. A bus stops on the street. | C. Ambient public transport sounds are loud throughout. | D. The engine of a public transport vehicle is getting louder. | E. A man is making an announcement at a bus station.",D,D,A,exact-label,exact-label,D,A,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,153630.mp3__3,153630.mp3,"What happens immediately after this event first appears: ""Two men are speaking quietly to each other.""?","A. The violin is played twice with the pitch rising each time, reaching an especially high note on the second play. | B. This is the last event, no immediate event after. | C. A violin is played once with the tone deepening. | D. A violin is played once with a high tone that gradually deepens. | E. A violin is played once with a tone that deepens.",A,A,B,exact-label,exact-label,A,B,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,164620.mp3__2,164620.mp3,"What happens immediately after this event first appears: ""Someone is speaking inside a car.""?","A. Two people are talking inside a car. | B. The monotonous sound of a car engine. | C. Whistling sound of a vehicle passing by quickly. | D. This is the last event, no immediate event after. | E. A person laughs inside a car.",A,A,D,exact-label,exact-label,A,D,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,165602.mp3__3,165602.mp3,"What happens immediately after this event first appears: ""A woman is speaking calmly.""?","A. A bus engine hums quietly in the background. | B. People are clapping halfheartedly. | C. This is the last event, no immediate event after. | D. A man is speaking calmly on the radio. | E. A man speaks in a muffled voice through a radio.",D,D,C,exact-label,exact-label,D,C,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,167166.mp3__1,167166.mp3,"What happens immediately after this event first appears: ""A bidet emits multiple tones.""?","A. This is the last event, no immediate event after. | B. A bidet emits a high-pitched tone. | C. A bidet’s washing mechanism moves, producing a soft motor noise. | D. A bidet flushes with a steady stream of water. | E. A bidet’s water hits the surface below, creating a soft splashing sound.",C,C,B,exact-label,exact-label,C,B,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,167578.mp3__2,167578.mp3,"What happens immediately after this event first appears: ""A man laughs repeatedly, growing louder.""?","A. This is the last event, no immediate event after. | B. A man laughs loudly and repeatedly. | C. A man laughs repeatedly and continuously indoors. | D. A man laughs increasingly loudly indoors. | E. A man laughs repeatedly.",D,D,B,exact-label,exact-label,D,B,5,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,103538.mp3__1,103538.mp3,"What happens immediately after this event first appears: ""Birds chirp briefly.""?","A. Insects are sounding continually. | B. Birds chirp simultaneously in public. | C. This is the last event, no immediate event after. | D. An airplane is descending.",D,D,C,exact-label,exact-label,D,C,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,122065.mp3__2,122065.mp3,"What happens immediately after this event first appears: ""A loud, high-pitched noise of a very fast passenger train passing by.""?","A. Gentle noise of a distant train with loud cricket sounds. | B. Clear and loud cricket sounds in the background. | C. A train horn sounds in the distance. | D. This is the last event, no immediate event after.",A,A,B,exact-label,exact-label,A,B,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,124557.mp3__2,124557.mp3,"What happens immediately after this event first appears: ""A hollow metallic object is struck, producing a low thumping sound.""?","A. A hollow metallic object is struck, producing a high-pitched thumping sound. | B. A machine whirrs and clacks consistently with a soft chopping sound in the background. | C. Water splashing loudly and continuously indoors. | D. This is the last event, no immediate event after.",A,A,B,exact-label,exact-label,A,B,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,127621.mp3__0,127621.mp3,"What happens immediately after this event first appears: ""A stream of water pouring.""?","A. Water flowing down a stream. | B. Water flowing. | C. Water flowing downstream. | D. This is the last event, no immediate event after.",B,B,D,exact-label,exact-label,B,D,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,137010.mp3__2,137010.mp3,"What happens immediately after this event first appears: ""A woman is making an announcement.""?","A. A person is dialing a phone. | B. A train is passing by. | C. This is the last event, no immediate event after. | D. A train squeaks.",A,A,C,exact-label,exact-label,A,C,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,146166.mp3__2,146166.mp3,"What happens immediately after this event first appears: ""A metallic bell rings twice.""?","A. A cowbell rings three times clearly and sharply in a quiet setting. | B. A cowbell rings once clearly and sharply. | C. This is the last event, no immediate event after. | D. A metallic bell is ringing.",B,B,D,exact-label,exact-label,B,D,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,151005.mp3__2,151005.mp3,"What happens immediately after this event first appears: ""Footsteps on a wooden floor.""?","A. A wooden floor creaks quietly. | B. A power tool is making a loud noise. | C. A drill is operating loudly. | D. This is the last event, no immediate event after.",A,A,D,exact-label,exact-label,A,D,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,157594.mp3__1,157594.mp3,"What happens immediately after this event first appears: ""A house sparrow is singing.""?","A. This is the last event, no immediate event after. | B. A dove coos. | C. Various birds singing. | D. A buchfink or chaffinch bird singing.",B,B,C,exact-label,exact-label,B,C,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,157594.mp3__2,157594.mp3,"What happens immediately after this event first appears: ""A dove coos.""?","A. Various birds singing. | B. A buchfink or chaffinch bird singing. | C. This is the last event, no immediate event after. | D. A house sparrow is singing.",B,B,C,exact-label,exact-label,B,C,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,164789.mp3__1,164789.mp3,"What happens immediately after this event first appears: ""A squeaking noise is heard in the background.""?","A. A goat bleats in the distance. | B. This is the last event, no immediate event after. | C. A goat bleats loudly. | D. Footsteps on dry straw.",D,D,B,exact-label,exact-label,D,B,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,165829.mp3__2,165829.mp3,"What happens immediately after this event first appears: ""A sheep bleats loudly outdoors.""?","A. A sheep bails loudly and repeatedly outdoors. | B. Geese honk and flutter loudly and repeatedly outdoors. | C. This is the last event, no immediate event after. | D. Geese honk loudly and repeatedly outdoors.",B,B,C,exact-label,exact-label,B,C,4,True,False
audio-flamingo-3__vs__audio-flamingo-3-no-audio,3,audio_only_correct,17111.mp3__1,17111.mp3,"What happens immediately after this event first appears: ""A door closes unclearly.""?","A. A baby screams loudly. | B. This is the last event, no immediate event after. | C. A door is opening. | D. Outdoor ambient sounds.",A,A,B,exact-label,exact-label,A,B,4,True,False
